****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 20 threads.
Cross-validation will be performed.  Folds=5.
Random seed: 12345
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 1127x6988
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 2.884	Loglikelihood: -531523	(delta): 1.14901e+07
2 (EM) 	Elapsed: 2.808	Loglikelihood: -444876	(delta): 86647.6
3 (EM) 	Elapsed: 2.797	Loglikelihood: -440657	(delta): 4219.05
4 (EM) 	Elapsed: 2.871	Loglikelihood: -438296	(delta): 2360.57
5 (EM) 	Elapsed: 2.847	Loglikelihood: -436710	(delta): 1585.72
Initial loglikelihood: -436710
Starting main algorithm
1 (QN/Block) 	Elapsed: 6.332	Loglikelihood: -422641	(delta): 14069.5
2 (QN/Block) 	Elapsed: 6.366	Loglikelihood: -413087	(delta): 9554.11
3 (QN/Block) 	Elapsed: 6.474	Loglikelihood: -405604	(delta): 7482.77
4 (QN/Block) 	Elapsed: 6.391	Loglikelihood: -400981	(delta): 4623.16
5 (QN/Block) 	Elapsed: 6.517	Loglikelihood: -398014	(delta): 2967.08
6 (QN/Block) 	Elapsed: 6.533	Loglikelihood: -396890	(delta): 1123.94
7 (QN/Block) 	Elapsed: 6.483	Loglikelihood: -396522	(delta): 367.311
8 (QN/Block) 	Elapsed: 6.568	Loglikelihood: -396365	(delta): 157.309
9 (QN/Block) 	Elapsed: 6.457	Loglikelihood: -396268	(delta): 96.6727
10 (QN/Block) 	Elapsed: 6.57	Loglikelihood: -396201	(delta): 67.3057
11 (QN/Block) 	Elapsed: 6.639	Loglikelihood: -396140	(delta): 60.6817
12 (QN/Block) 	Elapsed: 6.38	Loglikelihood: -396105	(delta): 35.0984
13 (QN/Block) 	Elapsed: 6.565	Loglikelihood: -396073	(delta): 32.6079
14 (QN/Block) 	Elapsed: 6.318	Loglikelihood: -396049	(delta): 24.001
15 (QN/Block) 	Elapsed: 6.527	Loglikelihood: -396032	(delta): 16.6206
16 (QN/Block) 	Elapsed: 6.329	Loglikelihood: -396016	(delta): 16.0816
17 (QN/Block) 	Elapsed: 6.381	Loglikelihood: -395994	(delta): 22.2551
18 (QN/Block) 	Elapsed: 6.475	Loglikelihood: -395976	(delta): 18.2066
19 (QN/Block) 	Elapsed: 6.53	Loglikelihood: -395953	(delta): 22.9903
20 (QN/Block) 	Elapsed: 6.634	Loglikelihood: -395936	(delta): 16.6243
21 (QN/Block) 	Elapsed: 6.488	Loglikelihood: -395921	(delta): 15.1321
22 (QN/Block) 	Elapsed: 6.488	Loglikelihood: -395912	(delta): 8.41604
23 (QN/Block) 	Elapsed: 6.481	Loglikelihood: -395900	(delta): 12.8384
24 (QN/Block) 	Elapsed: 6.362	Loglikelihood: -395880	(delta): 19.5567
25 (QN/Block) 	Elapsed: 6.486	Loglikelihood: -395861	(delta): 18.8259
26 (QN/Block) 	Elapsed: 6.344	Loglikelihood: -395844	(delta): 17.2488
27 (QN/Block) 	Elapsed: 6.494	Loglikelihood: -395834	(delta): 10.0591
28 (QN/Block) 	Elapsed: 6.371	Loglikelihood: -395824	(delta): 9.52984
29 (QN/Block) 	Elapsed: 6.277	Loglikelihood: -395813	(delta): 11.1016
30 (QN/Block) 	Elapsed: 6.236	Loglikelihood: -395795	(delta): 17.837
31 (QN/Block) 	Elapsed: 6.27	Loglikelihood: -395778	(delta): 17.7983
32 (QN/Block) 	Elapsed: 6.371	Loglikelihood: -395764	(delta): 13.1586
33 (QN/Block) 	Elapsed: 6.393	Loglikelihood: -395750	(delta): 14.3544
34 (QN/Block) 	Elapsed: 6.445	Loglikelihood: -395731	(delta): 18.6924
35 (QN/Block) 	Elapsed: 6.461	Loglikelihood: -395711	(delta): 19.9003
36 (QN/Block) 	Elapsed: 6.318	Loglikelihood: -395695	(delta): 16.8383
37 (QN/Block) 	Elapsed: 6.475	Loglikelihood: -395665	(delta): 29.7783
38 (QN/Block) 	Elapsed: 6.369	Loglikelihood: -395646	(delta): 18.9578
39 (QN/Block) 	Elapsed: 6.645	Loglikelihood: -395630	(delta): 16.2435
40 (QN/Block) 	Elapsed: 6.616	Loglikelihood: -395621	(delta): 9.15682
41 (QN/Block) 	Elapsed: 6.65	Loglikelihood: -395615	(delta): 5.94434
42 (QN/Block) 	Elapsed: 6.718	Loglikelihood: -395608	(delta): 6.44606
43 (QN/Block) 	Elapsed: 6.733	Loglikelihood: -395599	(delta): 9.30219
44 (QN/Block) 	Elapsed: 6.623	Loglikelihood: -395592	(delta): 7.28505
45 (QN/Block) 	Elapsed: 6.441	Loglikelihood: -395586	(delta): 5.58695
46 (QN/Block) 	Elapsed: 6.587	Loglikelihood: -395580	(delta): 6.31199
47 (QN/Block) 	Elapsed: 6.439	Loglikelihood: -395567	(delta): 12.8434
48 (QN/Block) 	Elapsed: 6.431	Loglikelihood: -395563	(delta): 4.14212
49 (QN/Block) 	Elapsed: 6.201	Loglikelihood: -395560	(delta): 2.23959
50 (QN/Block) 	Elapsed: 6.047	Loglikelihood: -395559	(delta): 1.52049
51 (QN/Block) 	Elapsed: 6.244	Loglikelihood: -395557	(delta): 1.58468
52 (QN/Block) 	Elapsed: 6.263	Loglikelihood: -395554	(delta): 3.53504
53 (QN/Block) 	Elapsed: 6.341	Loglikelihood: -395549	(delta): 5.25122
54 (QN/Block) 	Elapsed: 6.346	Loglikelihood: -395530	(delta): 18.8542
55 (QN/Block) 	Elapsed: 6.138	Loglikelihood: -395510	(delta): 19.6181
56 (QN/Block) 	Elapsed: 6.108	Loglikelihood: -395498	(delta): 12.3206
57 (QN/Block) 	Elapsed: 6.235	Loglikelihood: -395494	(delta): 3.7692
58 (QN/Block) 	Elapsed: 6.122	Loglikelihood: -395490	(delta): 4.31164
59 (QN/Block) 	Elapsed: 6.439	Loglikelihood: -395485	(delta): 4.84968
60 (QN/Block) 	Elapsed: 6.382	Loglikelihood: -395482	(delta): 2.63001
61 (QN/Block) 	Elapsed: 6.539	Loglikelihood: -395477	(delta): 5.52638
62 (QN/Block) 	Elapsed: 6.567	Loglikelihood: -395470	(delta): 6.46863
63 (QN/Block) 	Elapsed: 6.397	Loglikelihood: -395465	(delta): 5.57575
64 (QN/Block) 	Elapsed: 6.496	Loglikelihood: -395461	(delta): 3.23008
65 (QN/Block) 	Elapsed: 6.447	Loglikelihood: -395459	(delta): 1.9898
66 (QN/Block) 	Elapsed: 6.262	Loglikelihood: -395456	(delta): 3.67028
67 (QN/Block) 	Elapsed: 6.355	Loglikelihood: -395452	(delta): 3.77245
68 (QN/Block) 	Elapsed: 6.249	Loglikelihood: -395448	(delta): 3.70431
69 (QN/Block) 	Elapsed: 6.27	Loglikelihood: -395445	(delta): 2.9033
70 (QN/Block) 	Elapsed: 6.503	Loglikelihood: -395440	(delta): 4.92616
71 (QN/Block) 	Elapsed: 6.357	Loglikelihood: -395434	(delta): 6.44687
