****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 20 threads.
Cross-validation will be performed.  Folds=5.
Random seed: 12345
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 1127x6988
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 4.595	Loglikelihood: -554067	(delta): 1.09827e+07
2 (EM) 	Elapsed: 4.533	Loglikelihood: -444523	(delta): 109544
3 (EM) 	Elapsed: 4.446	Loglikelihood: -438441	(delta): 6082.48
4 (EM) 	Elapsed: 4.428	Loglikelihood: -435402	(delta): 3039.29
5 (EM) 	Elapsed: 4.429	Loglikelihood: -433302	(delta): 2099.65
Initial loglikelihood: -433302
Starting main algorithm
1 (QN/Block) 	Elapsed: 10.717	Loglikelihood: -407855	(delta): 25446.4
2 (QN/Block) 	Elapsed: 10.773	Loglikelihood: -392925	(delta): 14930.7
3 (QN/Block) 	Elapsed: 11.164	Loglikelihood: -385478	(delta): 7446.76
4 (QN/Block) 	Elapsed: 11.328	Loglikelihood: -381413	(delta): 4064.91
5 (QN/Block) 	Elapsed: 10.769	Loglikelihood: -379433	(delta): 1980.06
6 (QN/Block) 	Elapsed: 11.061	Loglikelihood: -378393	(delta): 1040.06
7 (QN/Block) 	Elapsed: 11.077	Loglikelihood: -377834	(delta): 559.184
8 (QN/Block) 	Elapsed: 11.228	Loglikelihood: -377452	(delta): 382.097
9 (QN/Block) 	Elapsed: 11.233	Loglikelihood: -377167	(delta): 284.589
10 (QN/Block) 	Elapsed: 11.367	Loglikelihood: -376955	(delta): 211.629
11 (QN/Block) 	Elapsed: 11.465	Loglikelihood: -376741	(delta): 214.244
12 (QN/Block) 	Elapsed: 11.163	Loglikelihood: -376575	(delta): 166.53
13 (QN/Block) 	Elapsed: 11.05	Loglikelihood: -376418	(delta): 156.69
14 (QN/Block) 	Elapsed: 11.132	Loglikelihood: -376124	(delta): 293.749
15 (QN/Block) 	Elapsed: 11.026	Loglikelihood: -375946	(delta): 178.204
16 (QN/Block) 	Elapsed: 11.121	Loglikelihood: -375834	(delta): 112.404
17 (QN/Block) 	Elapsed: 11.028	Loglikelihood: -375730	(delta): 103.249
18 (QN/Block) 	Elapsed: 10.943	Loglikelihood: -375652	(delta): 78.4867
19 (QN/Block) 	Elapsed: 11.247	Loglikelihood: -375594	(delta): 57.6967
20 (QN/Block) 	Elapsed: 11.216	Loglikelihood: -375522	(delta): 72.4597
21 (QN/Block) 	Elapsed: 11.063	Loglikelihood: -375461	(delta): 60.3206
22 (QN/Block) 	Elapsed: 10.731	Loglikelihood: -375413	(delta): 48.3287
23 (QN/Block) 	Elapsed: 10.862	Loglikelihood: -375382	(delta): 30.8707
24 (QN/Block) 	Elapsed: 10.768	Loglikelihood: -375338	(delta): 44.4911
25 (QN/Block) 	Elapsed: 10.782	Loglikelihood: -375298	(delta): 40.1755
26 (QN/Block) 	Elapsed: 10.927	Loglikelihood: -375276	(delta): 21.5317
27 (QN/Block) 	Elapsed: 11.183	Loglikelihood: -375248	(delta): 27.9521
